"row_mse_0.1","row_sds_0.1","row_mse_0.2","row_sds_0.2","row_mse_0.35","row_sds_0.35","row_mse_0.4","row_sds_0.4","row_mse_0.5","row_sds_0.5"
0.003025,0.000292034400215267,0.0190375,0.00250350795551629,0.1093,0.00574785368374117,0.1149375,0.00532018161215984,0.08043125,0.0060287394026216
0.01770625,0.00326561244922918,0.04521875,0.00589996692953195,0.11663125,0.00636924065823392,0.1168875,0.00659135359655727,0.08950625,0.00660686539711771
0.054025,0.00766913827089992,0.05575,0.00654229392862204,0.10324375,0.00753218418071391,0.1081125,0.00702945743143118,0.09968125,0.00647922753430437
0.0735375,0.00750630637641887,0.0898375,0.00755119114374639,0.1036625,0.0070884229709186,0.10545,0.00739736209125192,0.09809375,0.00715121426412248
0.07664375,0.00797493338035409,0.10575625,0.00820611844732885,0.117875,0.00715250318194104,0.11905625,0.00740132102745104,0.0956875,0.00754069609107003
0.1009,0.0080179049160254,0.09985625,0.0081720657738417,0.1043125,0.00753274889208528,0.1171375,0.00762835339822309,0.11245,0.00766832203802031
0.1095,0.00817942147135484,0.11615,0.00818140252170875,0.1068125,0.00796432276997508,0.11286875,0.00792155000404217,0.097925,0.00810404679743086
0.10298125,0.00781719230298794,0.11414375,0.00791877790329366,0.10828125,0.00724846713484473,0.12344375,0.00795057280173142,0.117175,0.00728911470494313
0.117725,0.0083334352266498,0.1185625,0.00810991460880577,0.11851875,0.00814468601448952,0.10684375,0.00762139950077273,0.10255,0.00757307456277392
0.11688125,0.00776595729605283,0.117875,0.00803573733362095,0.1196125,0.00724129669609726,0.1179375,0.00818913354048762,0.11465625,0.00740433183829513
0.11920625,0.00766655269492855,0.11528125,0.00773189669890254,0.115425,0.00809886472590356,0.1079125,0.00779279697278781,0.11285625,0.00728843139806627
0.13335,0.00770093584434956,0.1225375,0.0073994673103726,0.13055625,0.00759197026781247,0.12518125,0.00796935366103307,0.1160625,0.0079108655978708
0.1307875,0.00748430396705079,0.12188125,0.00836627718801752,0.131775,0.00775006476023774,0.1092375,0.00797241426448384,0.11856875,0.00776697236827651
0.11833125,0.00789833431147564,0.12871875,0.00760975757002949,0.12509375,0.00848261356396903,0.12134375,0.00763391790449708,0.123375,0.00763464987984903
0.1220375,0.00790846674616847,0.11121875,0.00809139015361733,0.1155375,0.00787595202278122,0.12925,0.00717846104888109,0.12618125,0.00771746947829135
0.12984375,0.00773866052453622,0.13120625,0.00829057332044605,0.1292125,0.00788618343716055,0.1292625,0.00795210062537318,0.13085625,0.00785629218787641
0.12756875,0.0076830199385158,0.11685,0.00792454711448528,0.12940625,0.00748087510558279,0.1187,0.00781138971908548,0.14095,0.00783292270039116
0.1255625,0.00829130738143475,0.12973125,0.00819068849838959,0.12598125,0.00720409127565403,0.124225,0.00738675616672614,0.1190375,0.0076610055062088
0.1376,0.00778220499900026,0.12504375,0.00770670158302323,0.13328125,0.0079701461937896,0.1232125,0.00750566925881545,0.1194125,0.007872859357125
0.115525,0.00815426315345277,0.1232375,0.00818108739546414,0.1370375,0.00759892471875548,0.131275,0.00776136507830858,0.11130625,0.00825179854419721
0.12773125,0.00849091377379462,0.1260875,0.00773693312327568,0.1339875,0.00792156835892688,0.13395625,0.00778708266854426,0.09958125,0.00785246120761163
