"row_mse_0.1_d_l2","row_sds_0.1_d_l2","row_mse_0.1_d_li","row_sds_0.1_d_li","row_mse_0.2_d_l2","row_sds_0.2_d_l2","row_mse_0.2_d_li","row_sds_0.2_d_li","row_mse_0.35_d_l2","row_sds_0.35_d_l2","row_mse_0.35_d_li","row_sds_0.35_d_li","row_mse_0.4_d_l2","row_sds_0.4_d_l2","row_mse_0.4_d_li","row_sds_0.4_d_li","row_mse_0.5_d_l2","row_sds_0.5_d_l2","row_mse_0.5_d_li","row_sds_0.5_d_li"
4.375e-05,1.60270249985152e-05,0.0002375,3.04894832009102e-05,0.00023125,3.03272866933694e-05,0.00074375,0.000115379465616108,0.00590625,0.00143061799596496,0.01340625,0.00228109432843696,0.0824375,0.00684615447705771,0.0801875,0.00623916042351886,0.0010125,0.000198991301012853,0.00235,0.000400354956144033
5e-05,1.70412452715182e-05,0.00030625,4.90559552187524e-05,0.00024375,3.06379456250123e-05,0.00078125,0.000123850459173044,0.0059875,0.0014071701535028,0.01408125,0.00239136531664476,0.08640625,0.0070870053706136,0.08076875,0.0063743306182043,0.001025,0.000198542670273148,0.0042625,0.00163418586671459
6.875e-05,1.96541273584512e-05,0.000275,4.89149953253271e-05,0.00023125,3.03272866933694e-05,0.000675,0.000104989176931374,0.00594375,0.00140271356676222,0.0144375,0.00230496314799963,0.08674375,0.0071030157414373,0.08441875,0.00670922880692797,0.001075,0.00020258742968572,0.00415625,0.000991415767534571
6.25e-05,1.88444590361102e-05,0.000275,4.89149953253271e-05,0.00024375,3.75788312831315e-05,0.0007375,0.000130974638997808,0.0065625,0.00149680056514493,0.01361875,0.00219750229470353,0.0868875,0.00709642829228731,0.0831875,0.00646717686307424,0.00108125,0.000203515310706392,0.00405625,0.00115737966928041
6.875e-05,1.96541273584512e-05,0.00028125,4.89593407375401e-05,0.00025625,3.77882440567022e-05,0.00080625,0.000110702175185988,0.0062625,0.0014375955172482,0.0164875,0.00257175711510456,0.0854625,0.00703479144820207,0.079525,0.00668811134277333,0.00109375,0.000157005748061154,0.00365625,0.000823012556745404
8.125e-05,2.11248543118519e-05,0.0002625,4.8801934263703e-05,0.00026875,3.79549423858758e-05,0.0006625,0.000103146519793227,0.006375,0.00147725815843632,0.0168375,0.00247281335147077,0.08554375,0.00704997523434829,0.08284375,0.00671095830794566,0.00099375,0.00015567317770758,0.00375625,0.000982344737712846
7.50000000000001e-05,2.04124145231931e-05,0.00030625,4.90559552187524e-05,0.000275,3.80224548222109e-05,0.00080625,0.000124777263675331,0.0066125,0.00149547349432286,0.01476875,0.00246881840462705,0.08843125,0.00714237589186412,0.08463125,0.00682788663540442,0.00099375,0.000149466380379122,0.003725,0.000908361133853133
8.75e-05,2.17959430012361e-05,0.00025,3.76889180722204e-05,0.00028125,3.80794872403089e-05,0.00075,0.000113066754216661,0.00666875,0.00148909798195879,0.01616875,0.0024392663083612,0.0868375,0.00709775059064277,0.083625,0.00679972565177404,0.0009875,0.000149752531554798,0.00315625,0.00061065449395288
9.375e-05,2.24293925801648e-05,0.0002875,4.38985573035531e-05,0.00026875,3.10981157472652e-05,0.00095,0.000140030660423301,0.0078875,0.00172190149546976,0.01625,0.00241437979571976,0.08844375,0.00684693246193196,0.0846625,0.00675259735381337,0.0010375,0.000156715216526377,0.00328125,0.000592752351643406
1e-04,2.30283093235919e-05,0.0003625,5.34332633886761e-05,0.00024375,3.06379456250123e-05,0.00098125,0.000163621566565825,0.00799375,0.00177809995255831,0.016825,0.00247977424436788,0.08736875,0.00697191388747876,0.08475625,0.00656102914613549,0.0009375,0.000142272545744874,0.00299375,0.000517549877433387
